участок,ebyte,ld58,канал,назначение,режим,объект,примечание,комментарий
Углич 1,37,140,1,Дом,Постоянный,"Спасская, 25",,
Углич 1,37,140,2,Дом,Постоянный,дом дворян Тугариновых,,
Углич 1,37,140,3,Дом,Постоянный,доп/строение,деревенский дом,
Углич 1,37,140,4,Дом,Постоянный,д/с,деревенский дом,
Углич 1,37,140,5,Дом,Постоянный,д/с,деревенский дом,
Углич 1,37,140,6,Дом,Постоянный,д/с,кпп ГЭС Углич,
Углич 1,37,140,7,Фонарь,ШИМ,,кпп ГЭС Углич,
Углич 1,37,140,8,---,Постоянный,,,
Углич 1,37,141,1,Светофор,Постоянный,жд пути станции Углич,зелёный 1,
Углич 1,37,141,2,Светофор,Постоянный,жд пути станции Углич,красный 1,
Углич 1,37,141,3,Светофор,Постоянный,жд пути станции Углич,белый 2,
Углич 1,37,141,4,Светофор,Постоянный,жд пути станции Углич,синий 2,
Углич 1,37,141,5,Светофор,Постоянный,жд пути станции Углич,белый 3,
Углич 1,37,141,6,Светофор,Постоянный,жд пути станции Углич,синий 3,
Углич 1,37,141,7,Светофор,Постоянный,жд пути станции Углич,белый 4,
Углич 1,37,141,8,Светофор,Постоянный,жд пути станции Углич,синий 4,
Углич 1,37,142,1,Дом,Постоянный,постоялый двор Погудаловых,,
Углич 1,37,142,2,Дом,Постоянный,д/с,деревенский дом,
Углич 1,37,142,3,Машинка,Постоянный,,,
Углич 1,37,142,4,Дом,Постоянный,ж/д вокзал Углич,,
Углич 1,37,142,5,---,Постоянный,,,
Углич 1,37,142,6,---,Постоянный,,,
Углич 1,37,142,7,Фонарь,ШИМ,,жд вокзал,
Углич 1,37,142,8,---,Постоянный,,,
Углич 1,37,143,1,Дом,Постоянный,д/с,5кж 1группа,
Углич 1,37,143,2,Дом,Постоянный,д/с,5кж 2группа,
Углич 1,37,143,3,Фонарь,Постоянный,,гараж,
Углич 1,37,143,4,Дом,Постоянный,дом Потехиных,,
Углич 1,37,143,5,Дом,Постоянный,д/с,городской особняк,
Углич 1,37,143,6,Дом,Постоянный,дом Истоминых,,
Углич 1,37,143,7,Дом,ШИМ,д/с,5 кж подъезд,
Углич 1,37,143,8,---,Постоянный,,,
Углич 1,37,144,1,Дом,Постоянный,д/с,деревенский дом,
Углич 1,37,144,2,Дом,Постоянный,дом Русиновых,,
Углич 1,37,144,3,Дом,Постоянный,дом купца Тропина,,
Углич 1,37,144,4,Дом,Постоянный,д/с,деревенский дом,
Углич 1,37,144,5,Дом,Постоянный,Смоленская церковь Богоявленского монастыря,,
Углич 1,37,144,6,Плеер,Постоянный,,колокольня Богоявленского монастыря,
Углич 1,37,144,7,Дом,ШИМ,Храм иконы БМ Федоровская Богоявленского мон.,уменьшить яркость?,
Углич 1,37,144,8,Фонарь,ШИМ,,городские,
Углич 1,37,145,1,Дом,Постоянный,Торговые ряды,,
Углич 1,37,145,2,Дом,Постоянный,дом Калашниковых,,
Углич 1,37,145,3,Дом,Постоянный,дом Евреиновых (Администрация),,
Углич 1,37,145,4,Дом,Постоянный,д/с,деревенский дом,
Углич 1,37,145,5,Дом,Постоянный,дом Винградовых,,
Углич 1,37,145,6,Дом,Постоянный,Собор Богоявления Господня (Богоявленского мон.),,
Углич 1,37,145,7,Фонарь,ШИМ,,городские,
Углич 1,37,145,8,Фонарь,ШИМ,,монастырь,
Углич 2,19,146,1,---,Постоянный,,,
Углич 2,19,146,2,Дом,Постоянный,Церковь Казанской Божьей Матери,,
Углич 2,19,146,3,Машинка,Постоянный,,"сигнальные огни, полиция",
Углич 2,19,146,4,Дом,Постоянный,галерея православного искусства,,
Углич 2,19,146,5,Дом,Постоянный,музей Городского Быта,,
Углич 2,19,146,6,Плеер,Постоянный,,сцена велофестиваля Угличская верста,
Углич 2,19,146,7,Фонарь,ШИМ,,вокруг часовни,
Углич 2,19,146,8,Фонарь,ШИМ,,площадь,
Углич 2,19,147,1,Плеер,Постоянный,,территория Воскресенского монастыря,
Углич 2,19,147,2,---,Постоянный,,,
Углич 2,19,147,3,Дом,Постоянный,постоялый двор Погудаловых,,
Углич 2,19,147,4,Дом,Постоянный,дом купца Постнова,,
Углич 2,19,147,5,Дом,Постоянный,Воскресенский монастырь,,
Углич 2,19,147,6,Дом,Постоянный,Воскресенский монастырь,,
Углич 2,19,147,7,Фонарь,ШИМ,,городские,
Углич 2,19,147,8,Фонарь,ШИМ,,городские,
Углич 2,19,148,1,Дом,Постоянный,Волжская Ривьера отель,,
Углич 2,19,148,2,Машинка,Постоянный,,,
Углич 2,19,148,3,Дом,Постоянный,Музей гидроэнергетики,,
Углич 2,19,148,4,Фонарь,Постоянный,,перед зданием ГЭС,
Углич 2,19,148,5,Фонарь,Постоянный,,мост на клапане берега,
Углич 2,19,148,6,Дом,Постоянный,здание ГЭС Углич,,
Углич 2,19,148,7,Фонарь,ШИМ,,вокруг отеля,
Углич 2,19,148,8,Фонарь,ШИМ,,вокруг музея,
Углич 2,19,149,1,Дом,Постоянный,колокольня Угличского кремля,,
Углич 2,19,149,2,Дом,Постоянный,бывшее здание Городской Думы,,
Углич 2,19,149,3,Дом,Постоянный,палаты угличских князей,,
Углич 2,19,149,4,Дом,Постоянный,церковь Царевича Димитрия на крови,,
Углич 2,19,149,5,Дом,Постоянный,храм Преображения Господня и Похвалы Пресвятой Богородицы,,
Углич 2,19,149,6,Плеер,Постоянный,,колокольня Угличского кремля,
Углич 2,19,149,7,Фонарь,ШИМ,,кремль,
Углич 2,19,149,8,Фонарь,ШИМ,,мост,
Углич 3,18,150,1,---,Постоянный,,,
Углич 3,18,150,2,Плеер,Постоянный,,территория Алексеевского женского монастыря,
Углич 3,18,150,3,Дом,Постоянный,"Храм Алексия, митрополита Московского",,
Углич 3,18,150,4,Дом,Постоянный,Церковь Усекновения Главы Иоанна Предтечи,,
Углич 3,18,150,5,Дом,Постоянный,Храм Успения Пресвятой Богородицы,,
Углич 3,18,150,6,Фонарь,Постоянный,,территория Алексеевского женского монастыря,
Углич 3,18,150,7,Фонарь,ШИМ,,городские,
Углич 3,18,150,8,Фонарь,ШИМ,,городские,
Углич 3,18,151,1,Машинка,Постоянный,,сигнальные огни скорой помощи,
Углич 3,18,151,2,Дом,Постоянный,Пожарная каланча,,
Углич 3,18,151,3,Дом,Постоянный,д/с,4кж подъезд,
Углич 3,18,151,4,Дом,Постоянный,д/с,4кж 1группа,
Углич 3,18,151,5,Дом,Постоянный,д/с,4кж 2группа,
Углич 3,18,151,6,Дом,Постоянный,дом Серебряковых,,
Углич 3,18,151,7,---,Постоянный,,,
Углич 3,18,151,8,---,Постоянный,,,
Углич 3,18,152,1,Машинка,Постоянный,,,
Углич 3,18,152,2,Дом,Постоянный,Дом Переславцевых,,
Углич 3,18,152,3,Дом,Постоянный,частный музеи Углич,,
Углич 3,18,152,4,Фонарь,Постоянный,,вечный огонь,
Углич 3,18,152,5,---,Постоянный,,,
Углич 3,18,152,6,---,Постоянный,,,
Углич 3,18,152,7,Фонарь,ШИМ,,парк,
Углич 3,18,152,8,Фонарь,ШИМ,,городские,
Углич 3,18,153,1,Дом,Постоянный,Дом Буториных,,
Углич 3,18,153,2,Дом,Постоянный,дом Евреиновых,,
Углич 3,18,153,3,Дом,Постоянный,частный музеи Углич,,
Углич 3,18,153,4,Дом,Постоянный,д/с,деревенский дом,
Углич 3,18,153,5,Дом,Постоянный,д/с,деревенский дом,
Углич 3,18,153,6,Дом,Постоянный,Церковь святых мучеников Флора и Лавра,,
Углич 3,18,153,7,Фонарь,ШИМ,,спуск к воде,
Углич 3,18,153,8,Дом,ШИМ,Храм Корсунской иконы Божией Матери,уменьшить яркость?,
Углич 3,18,154,1,Плеер,Постоянный,,у причала,
Углич 3,18,154,2,Дом,Постоянный,AZIMUT Отель Углич,,
Углич 3,18,154,3,Дом,Постоянный,д/с,деревенский дом,
Углич 3,18,154,4,---,Постоянный,,,
Углич 3,18,154,5,Дом,Постоянный,д/с,деревенский дом,
Углич 3,18,154,6,---,Постоянный,,,
Углич 3,18,154,7,Фонарь,ШИМ,,набережная,
Углич 3,18,154,8,Фонарь,ШИМ,,территория AZIMUT Отеля,
Углич 4,17,155,1,Дом,Постоянный,д/с,5кж 1группа,
Углич 4,17,155,2,Дом,Постоянный,д/с,5кж 2группа,
Углич 4,17,155,3,Дом,Постоянный,ДК часового завода,,
Углич 4,17,155,4,Дом,Постоянный,д/с,5кж подъезды,
Углич 4,17,155,5,Дом,Постоянный,дом Выжиловых,,
Углич 4,17,155,6,Дом,Постоянный,д/с,деревенский дом,
