топик,подпись,шлюз,ld58,канал,назначение,режим,имя,клапаны
/devices/ld58_11_220/controls/1,[11·220·1] Машинка,192.168.69.11,220,1,Машинка,Постоянный,Машинка,Борок 1
/devices/ld58_11_220/controls/2,[11·220·2] Троицкая церковь,192.168.69.11,220,2,Дом,Постоянный,Троицкая церковь,Борок 1
/devices/ld58_11_220/controls/3,[11·220·3] Главный Корпус ИБВВ РАН,192.168.69.11,220,3,Дом,Постоянный,Главный Корпус ИБВВ РАН,Борок 1
/devices/ld58_11_220/controls/4,[11·220·4] дом-музей И.Д. Папанина,192.168.69.11,220,4,Дом,Постоянный,дом-музей И.Д. Папанина,Борок 1
/devices/ld58_11_220/controls/5,[11·220·5] корпус ИБВВ РАН им. И.Д. Папанина,192.168.69.11,220,5,Дом,Постоянный,корпус ИБВВ РАН им. И.Д. Папанина,Борок 1
/devices/ld58_11_220/controls/6,[11·220·6] костер,192.168.69.11,220,6,Фонарь,Мигающий,костер,Борок 1
/devices/ld58_11_220/controls/7,[11·220·7] вместе с 221.7 составляет одну нить фонарей,192.168.69.11,220,7,Фонарь,ШИМ,вместе с 221.7 составляет одну нить фонарей,Борок 1
/devices/ld58_11_220/controls/8,[11·220·8] вместе с 222.7 составляет одну нить фонарей,192.168.69.11,220,8,Фонарь,ШИМ,вместе с 222.7 составляет одну нить фонарей,Борок 1
/devices/ld58_12_221/controls/1,[12·221·1] Музейно-административный комплекс ИБВВ РАН — гр1,192.168.69.12,221,1,Дом,Постоянный,Музейно-административный комплекс ИБВВ РАН — гр1,Борок 2
/devices/ld58_12_221/controls/2,[12·221·2] Музейно-административный комплекс ИБВВ РАН — гр2,192.168.69.12,221,2,Дом,Постоянный,Музейно-административный комплекс ИБВВ РАН — гр2,Борок 2
/devices/ld58_12_221/controls/3,[12·221·3] Музейно-административный комплекс ИБВВ РАН — гр3,192.168.69.12,221,3,Дом,Постоянный,Музейно-административный комплекс ИБВВ РАН — гр3,Борок 2
/devices/ld58_12_221/controls/4,[12·221·4] дом-музей Морозова,192.168.69.12,221,4,Дом,Постоянный,дом-музей Морозова,Борок 2
/devices/ld58_12_221/controls/5,[12·221·5] д∕с — типовая 2хэтажная застройка,192.168.69.12,221,5,Дом,Постоянный,д∕с — типовая 2хэтажная застройка,Борок 2
/devices/ld58_12_221/controls/6,[12·221·6] д∕с — дача,192.168.69.12,221,6,Дом,Постоянный,д∕с — дача,Борок 2
/devices/ld58_12_221/controls/7,[12·221·7] вместе с 220.7 составляет одну нить фонарей,192.168.69.12,221,7,Фонарь,ШИМ,вместе с 220.7 составляет одну нить фонарей,Борок 2
/devices/ld58_12_221/controls/8,[12·221·8] (свободен),192.168.69.12,221,8,---,Постоянный,свободен,Борок 2
/devices/ld58_12_222/controls/1,[12·222·1] (свободен),192.168.69.12,222,1,---,Постоянный,свободен,Борок 2
/devices/ld58_12_222/controls/2,"[12·222·2] д∕с — типовой 4эт, подъезды",192.168.69.12,222,2,Дом,Постоянный,"д∕с — типовой 4эт, подъезды",Борок 2
/devices/ld58_12_222/controls/3,"[12·222·3] д∕с — типовой 4эт, гр1",192.168.69.12,222,3,Дом,Постоянный,"д∕с — типовой 4эт, гр1",Борок 2
/devices/ld58_12_222/controls/4,"[12·222·4] д∕с — типовой 4эт, гр2",192.168.69.12,222,4,Дом,Постоянный,"д∕с — типовой 4эт, гр2",Борок 2
/devices/ld58_12_222/controls/5,"[12·222·5] д∕с — типовой 4эт, гр3",192.168.69.12,222,5,Дом,Постоянный,"д∕с — типовой 4эт, гр3",Борок 2
/devices/ld58_12_222/controls/6,"[12·222·6] д∕с — типовой 4эт, гр4",192.168.69.12,222,6,Дом,Постоянный,"д∕с — типовой 4эт, гр4",Борок 2
/devices/ld58_12_222/controls/7,[12·222·7] вместе с 220.8 составляет одну нить фонарей,192.168.69.12,222,7,Фонарь,ШИМ,вместе с 220.8 составляет одну нить фонарей,Борок 2
/devices/ld58_12_222/controls/8,[12·222·8] городские,192.168.69.12,222,8,Фонарь,ШИМ,городские,Борок 2
/devices/ld58_12_223/controls/1,"[12·223·1] д∕с — типовой 4эт, подъезды",192.168.69.12,223,1,Дом,Постоянный,"д∕с — типовой 4эт, подъезды",Борок 2
/devices/ld58_12_223/controls/2,"[12·223·2] д∕с — типовой 4эт, гр1",192.168.69.12,223,2,Дом,Постоянный,"д∕с — типовой 4эт, гр1",Борок 2
/devices/ld58_12_223/controls/3,"[12·223·3] д∕с — типовой 4эт, гр2",192.168.69.12,223,3,Дом,Постоянный,"д∕с — типовой 4эт, гр2",Борок 2
/devices/ld58_12_223/controls/4,"[12·223·4] д∕с — типовой 4эт, гр3",192.168.69.12,223,4,Дом,Постоянный,"д∕с — типовой 4эт, гр3",Борок 2
/devices/ld58_12_223/controls/5,"[12·223·5] д∕с — типовой 4эт, гр4",192.168.69.12,223,5,Дом,Постоянный,"д∕с — типовой 4эт, гр4",Борок 2
/devices/ld58_12_223/controls/6,[12·223·6] д∕с — администрация поселка,192.168.69.12,223,6,Дом,Постоянный,д∕с — администрация поселка,Борок 2
/devices/ld58_12_223/controls/7,[12·223·7] комплекс Геофизической обсерватории,192.168.69.12,223,7,Дом,Постоянный,комплекс Геофизической обсерватории,Борок 2
/devices/ld58_12_223/controls/8,[12·223·8] (свободен),192.168.69.12,223,8,---,Постоянный,свободен,Борок 2
/devices/ld58_12_224/controls/1,[12·224·1] Машинка,192.168.69.12,224,1,Машинка,Постоянный,Машинка,Борок 2
/devices/ld58_12_224/controls/2,[12·224·2] д∕с — кирпичный дом по главной улице,192.168.69.12,224,2,Дом,Постоянный,д∕с — кирпичный дом по главной улице,Борок 2
/devices/ld58_12_224/controls/3,[12·224·3] Ихтиологический корпус ИБВВ РАН — гр1,192.168.69.12,224,3,Дом,Постоянный,Ихтиологический корпус ИБВВ РАН — гр1,Борок 2
/devices/ld58_12_224/controls/4,[12·224·4] Ихтиологический корпус ИБВВ РАН — гр2,192.168.69.12,224,4,Дом,Постоянный,Ихтиологический корпус ИБВВ РАН — гр2,Борок 2
/devices/ld58_12_224/controls/5,[12·224·5] Ихтиологический корпус ИБВВ РАН — гр3,192.168.69.12,224,5,Дом,Постоянный,Ихтиологический корпус ИБВВ РАН — гр3,Борок 2
/devices/ld58_12_224/controls/6,[12·224·6] ДК,192.168.69.12,224,6,Дом,Постоянный,ДК,Борок 2
/devices/ld58_12_224/controls/7,[12·224·7] (свободен),192.168.69.12,224,7,---,Постоянный,свободен,Борок 2
/devices/ld58_12_224/controls/8,[12·224·8] (свободен),192.168.69.12,224,8,---,Постоянный,свободен,Борок 2
/devices/ld58_14_208/controls/1,[14·208·1] Машинка,192.168.69.14,208,1,Машинка,Постоянный,Машинка,Дубна 5
/devices/ld58_14_208/controls/2,[14·208·2] волжский маяк,192.168.69.14,208,2,Дом,Постоянный,волжский маяк,Дубна 4; Дубна 5
/devices/ld58_14_208/controls/3,[14·208·3] волжский маяк,192.168.69.14,208,3,Дом,Постоянный,волжский маяк,Дубна 5
/devices/ld58_14_208/controls/4,[14·208·4] д∕с — КПП переврава,192.168.69.14,208,4,Дом,Постоянный,д∕с — КПП переврава,Дубна 5
/devices/ld58_14_208/controls/5,"[14·208·5] заградительные ворота №104, левый берег",192.168.69.14,208,5,Дом,Постоянный,"заградительные ворота №104, левый берег",Дубна 5
